Date,residual
2024-06-07,-57.330047607421875
2024-06-10,-63.95481872558594
2024-06-11,-70.029052734375
2024-06-12,-66.35049438476562
2024-06-13,-64.1268310546875
2024-06-14,-71.54595947265625
2024-06-17,-65.07571411132812
2024-06-18,-70.61393737792966
2024-06-20,-76.85870361328125
2024-06-21,-78.36793518066403
2024-06-24,-81.73963928222656
2024-06-25,3.383224487304659
2024-06-26,12.051925659179688
2024-06-27,12.805831909179688
2024-06-28,13.013381958007812
2024-07-01,24.77497863769534
2024-07-02,45.98318481445315
2024-07-03,60.9422607421875
2024-07-05,65.91757202148435
2024-07-08,67.19537353515625
2024-07-09,76.45280456542969
2024-07-10,77.25747680664062
2024-07-11,54.90748596191406
2024-07-12,61.99142456054685
2024-07-15,66.28819274902344
2024-07-16,70.09690856933588
2024-07-17,61.92694091796875
2024-07-18,62.54785156249997
2024-07-19,52.40936279296875
2024-07-22,64.6111755371094
2024-07-23,59.37324523925781
2024-07-24,28.87548828125003
2024-07-25,33.02793884277344
2024-07-26,32.47052001953125
2024-07-29,44.663345336914034
2024-07-30,35.076446533203125
2024-07-31,44.41999816894531
2024-08-01,29.10394287109378
2024-08-02,19.808334350585938
2024-08-05,10.913360595703125
2024-08-06,12.568954467773438
2024-08-07,-15.785079956054659
2024-08-08,-6.117233276367159
2024-08-09,-2.8314361572265625
2024-08-12,-3.684219360351534
2024-08-13,7.967010498046875
2024-08-14,2.5771331787109375
2024-08-15,16.213653564453125
2024-08-16,18.935516357421875
2024-08-19,26.178909301757812
2024-08-20,25.130569458007784
2024-08-21,27.820571899414034
2024-08-22,15.693954467773409
2024-08-23,25.811737060546875
2024-08-26,19.142044067382812
2024-08-27,15.570755004882812
2024-08-28,12.531967163085938
2024-08-29,13.478439331054688
2024-08-30,21.72210693359378
2024-09-03,18.624099731445284
2024-09-04,27.845184326171847
2024-09-05,39.01556396484375
2024-09-06,19.985305786132784
2024-09-09,25.934341430664034
2024-09-10,36.24253845214844
2024-09-11,38.609649658203125
2024-09-12,40.69525146484372
2024-09-13,41.57929992675781
2024-09-16,38.471282958984375
2024-09-17,39.96104431152344
2024-09-18,39.68843078613281
2024-09-19,14.418121337890625
2024-09-20,8.465408325195312
2024-09-23,20.011062622070312
2024-09-24,24.134597778320284
2024-09-25,26.783920288085938
